Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
35,202305070,boxscore,PIT,TOR,L,1,10,,20-15,1,up 0.5,Kikuchi,Contreras,,2:46,D,"21,655",1.18,-------,,True,512,2023
35,202305070,boxscore,ATL,BAL,W-wo,3,2,12,24-11,1,up 7.0,Tonkin,Pérez,,3:29,D,"40,800",1.14,++,,True,513,2023
34,202305070,boxscore,CLE,MIN,W,2,0,,16-18,2, 2.5,Quantrill,Ryan,Clase,2:09,D,"17,477",.99,++,,True,514,2023
35,202305070,boxscore,TBR,NYY,W-wo,8,7,10,28-7,1,up 5.5,Beeks,Abreu,,3:16,D,"32,142",1.15,+,,True,515,2023
34,202305070,boxscore,CIN,CHW,L,4,17,,14-20,4, 5.5,Kopech,Ashcraft,,2:50,D,"20,338",.69,-,,True,516,2023
35,202305070,boxscore,LAA,TEX,L,8,16,,19-16,2, 2.0,Sborz,Suarez,,3:06,D,"41,641",1.34,--,,True,517,2023
35,202305080,boxscore,CLE,DET,L,2,6,,16-19,3, 3.0,Wentz,Bibee,,2:53,N,"12,509",1.01,-,,True,518,2023
35,202305080,boxscore,BAL,TBR,L,0,3,,22-13,2, 6.5,McClanahan,Gibson,Adam,2:35,N,"12,669",1.29,---,,True,519,2023
35,202305080,boxscore,SEA,TEX,L,1,2,,17-18,3, 4.5,Gray,Gilbert,Smith,2:16,N,"15,282",1.03,-,,True,520,2023
35,202305080,boxscore,CHC,STL,L,1,3,,17-18,3, 3.5,Cabrera,Stroman,Helsley,2:57,N,"30,937",1.02,--,,True,521,2023
35,202305080,boxscore,ARI,MIA,W,5,2,,20-15,2, 0.5,Gallen,Garrett,,2:33,N,"9,071",1.14,+,,True,522,2023
34,202305080,boxscore,SFG,WSN,L,1,5,,15-19,4, 5.0,Irvin,DeSclafani,,2:14,N,"20,502",.82,--,,True,523,2023
36,202305080,boxscore,PIT,COL,W,2,0,,21-15,1,up 0.5,Keller,Freeland,,1:55,N,"9,596",1.22,+,,True,524,2023
35,202305080,boxscore,MIL,LAD,W,9,3,,20-15,2, 0.5,Peralta,Gonsolin,,2:18,N,"22,847",1.23,++,,True,525,2023
36,202305080,boxscore,LAA,HOU,W,6,4,,20-16,2, 2.0,Moore,Montero,Estévez,2:29,N,"26,064",1.20,+,,True,526,2023
36,202305080,boxscore,NYY,OAK,W,7,2,,19-17,5, 10.0,Marinaccio,Sears,,2:34,N,"33,011",.71,+,,True,527,2023
36,202305080,boxscore,KCR,CHW,W,12,5,,10-26,5, 9.5,Cuas,Cease,,2:55,N,"9,814",.15,++,,True,528,2023
36,202305090,boxscore,PHI,TOR,W,8,4,,17-19,3, 8.0,Nola,Manoah,,3:10,N,"44,544",.75,++,,True,529,2023
36,202305090,boxscore,BAL,TBR,W,4,2,,23-13,2, 5.5,Rodriguez,Eflin,Bautista,2:22,N,"10,017",1.24,+,,True,530,2023
37,202305090,boxscore,LAA,HOU,L,1,3,,20-17,2, 2.0,Valdez,Ohtani,Pressly,2:16,N,"29,018",1.23,-,,True,531,2023
36,202305090,boxscore,SEA,TEX,W,5,0,,18-18,3, 3.5,Kirby,Heaney,,2:20,N,"17,638",.97,+,,True,532,2023
36,202305090,boxscore,CLE,DET,W,2,0,,17-19,2, 2.0,Bieber,Lorenzen,Clase,2:30,N,"13,096",.93,+,,True,533,2023
37,202305090,boxscore,PIT,COL,L,1,10,,21-16,1,up 0.5,Seabold,Ortiz,,2:32,N,"11,916",1.18,-,,True,534,2023
36,202305090,boxscore,MIN,SDP,L,1,6,,19-17,1,up 2.0,Wacha,Jax,,2:41,N,"16,882",1.06,---,,True,535,2023
35,202305090,boxscore,SFG,WSN,W,4,1,,16-19,4, 5.0,Webb,Corbin,Doval,2:22,N,"22,028",.71,+,,True,536,2023
37,202305090,boxscore,NYY,OAK,W,10,5,,20-17,5, 9.0,Schmidt,Rucinski,,2:44,N,"33,569",.77,++,,True,537,2023
36,202305090,boxscore,ARI,MIA,L,2,6,,20-16,2, 1.5,Luzardo,Pfaadt,,2:29,N,"13,608",1.21,-,,True,538,2023
35,202305090,boxscore,CIN,NYM,W,7,6,,15-20,4, 5.0,Weaver,Peterson,Díaz,2:56,N,"14,065",.63,+,,True,539,2023
37,202305090,boxscore,KCR,CHW,L,2,4,,10-27,5, 9.5,Giolito,Lyles,Graveman,2:02,N,"11,258",.17,-,,True,540,2023
36,202305090,boxscore,CHC,STL,L,4,6,,17-19,3, 3.5,Stratton,Assad,Gallegos,3:00,N,"32,693",.93,---,,True,541,2023
36,202305090,boxscore,MIL,LAD,L,2,6,,20-16,2, 0.5,Bruihl,Lauer,Phillips,2:53,N,"23,874",1.23,-,,True,542,2023
36,202305090,boxscore,ATL,BOS,W,9,3,,25-11,1,up 7.5,Morton,Pivetta,,2:42,N,"36,805",1.16,+++,,True,543,2023
37,202305100,boxscore,BAL,TBR,W,2,1,,24-13,2, 4.5,Kremer,Chirinos,Cano,2:23,N,"14,395",1.29,++,,True,544,2023
38,202305100,boxscore,LAA,HOU,L,4,5,,20-18,2, 3.0,Javier,Canning,Pressly,2:38,D,"20,420",1.21,--,,True,545,2023
37,202305100,boxscore,MIN,SDP,W-wo,4,3,11,20-17,1,up 2.5,Jax,Tapia,,2:51,N,"18,467",1.05,+,,True,546,2023
37,202305100,boxscore,ARI,MIA,L,4,5,,20-17,2, 2.5,Floro,Chafin,Puk,2:45,D,"10,482",1.18,--,,True,547,2023
37,202305100,boxscore,CLE,DET,L,0,5,,17-20,3, 3.0,Rodriguez,Battenfield,,2:01,D,"16,128",.98,-,,True,548,2023
38,202305100,boxscore,NYY,OAK,W,11,3,,21-17,5, 8.0,Cordero,Muller,García,2:47,D,"40,687",.83,+++,,True,549,2023
38,202305100,boxscore,KCR,CHW,W,9,1,,11-27,5, 9.5,Keller,Lynn,,2:21,N,"12,187",.17,+,,True,550,2023
37,202305100,boxscore,MIL,LAD,L,1,8,,20-17,2, 0.5,Kershaw,Miley,,2:11,D,"30,112",1.24,--,,True,551,2023
36,202305100,boxscore,SFG,WSN,L,6,11,,16-20,4, 6.0,Gray,Manaea,,2:29,D,"21,283",.79,-,,True,552,2023
37,202305100,boxscore,CHC,STL,W,10,4,,18-19,3, 2.5,Steele,Montgomery,,2:31,N,"36,413",.87,+,,True,553,2023
36,202305100,boxscore,CIN,NYM,L,1,2,,15-21,4, 5.0,Verlander,Greene,Robertson,2:35,N,"14,515",.71,-,,True,554,2023
37,202305100,boxscore,ATL,BOS,L,2,5,,25-12,1,up 6.5,Bello,Minter,Jansen,2:43,N,"40,270",1.14,-,,True,555,2023
37,202305100,boxscore,SEA,TEX,L,3,4,,18-19,4, 4.5,Dunning,Castillo,Smith,2:33,D,"22,480",1.02,-,,True,556,2023
37,202305100,boxscore,PHI,TOR,W-wo,2,1,10,18-19,3, 7.0,Kimbrel,Mayza,,2:56,D,"31,758",.83,+++,,True,557,2023
38,202305100,boxscore,PIT,COL,L,3,4,,21-17,1,up 0.5,Hand,Stephenson,Johnson,3:08,D,"13,491",1.21,--,,True,558,2023
39,202305110,boxscore,NYY,TBR,L,2,8,,21-18,5, 9.0,Rasmussen,Germán,,2:30,N,"37,686",.95,-,,True,559,2023
37,202305110,boxscore,CIN,NYM,W,5,0,,16-21,4, 4.5,Lively,Senga,Herget,2:27,D,"14,855",.67,+,,True,560,2023
39,202305110,boxscore,OAK,TEX,L,0,4,,8-31,5, 16.0,Eovaldi,Medina,Smith,2:16,N,"2,949",.06,-----,,True,561,2023
38,202305110,boxscore,ARI,SFG,L,2,6,,20-18,2, 3.0,Cobb,Henry,,2:45,N,"15,582",1.17,---,,True,562,2023
39,202305110,boxscore,KCR,CHW,W-wo,4,3,,12-27,5, 9.5,Barlow,López,,2:20,D,"20,321",.17,++,,True,563,2023
38,202305110,boxscore,MIN,SDP,W,5,3,,21-17,1,up 3.0,Pagán,Honeywell,López,2:34,D,"23,365",1.02,++,,True,564,2023
39,202305120,boxscore,ARI,SFG,W,7,5,,21-18,2, 3.0,Misiewicz,Junis,Castro,2:56,N,"19,266",1.13,+,,True,565,2023
38,202305120,boxscore,TOR,ATL,W,3,0,,22-16,3, 7.0,Bassitt,Strider,,2:12,N,"35,047",.95,+,,True,566,2023
37,202305120,boxscore,DET,SEA,L,2,9,,17-20,2, 3.0,Gonzales,Boyd,,2:28,N,"22,116",.91,-,,True,567,2023
38,202305120,boxscore,BAL,PIT,W,6,3,,25-13,2, 4.0,Baker,Hernandez,Bautista,2:47,N,"25,682",1.04,+++,,True,568,2023
38,202305120,boxscore,CLE,LAA,L,4,5,,17-21,3, 3.5,Moore,Clase,Estévez,2:53,N,"22,550",.85,--,,True,569,2023
40,202305120,boxscore,OAK,TEX,W-wo,9,7,10,9-31,5, 15.0,Fujinami,Burke,,3:31,N,"6,575",.04,+,,True,570,2023
39,202305120,boxscore,MIA,CIN,L,4,7,,19-20,3, 6.5,Gibaut,Floro,Díaz,2:58,N,"13,938",.95,-,,True,571,2023
39,202305120,boxscore,BOS,STL,L,6,8,,22-17,4, 7.5,Helsley,Jansen,,2:52,N,"34,553",.93,-,,True,572,2023
38,202305120,boxscore,MIL,KCR,W,5,1,,21-17,1,up 0.5,Burnes,Taylor,,2:44,N,"24,900",1.12,+,,True,573,2023
39,202305120,boxscore,COL,PHI,L,3,6,,16-23,5, 8.0,Strahm,Lawrence,Kimbrel,2:15,N,"32,038",.67,-,,True,574,2023
38,202305120,boxscore,WSN,NYM,L,2,3,,16-22,5, 9.0,Megill,Edwards,Smith,3:10,N,"31,904",.73,-,,True,575,2023
40,202305120,boxscore,CHW,HOU,L,1,5,,13-27,4, 8.5,France,Kopech,,2:39,N,"18,673",.33,---,,True,576,2023
40,202305120,boxscore,NYY,TBR,W,6,5,,22-18,5, 8.0,Holmes,Adam,Peralta,2:36,N,"46,130",.89,+,,True,577,2023
39,202305120,boxscore,MIN,CHC,L,2,6,,21-18,1,up 3.0,Smyly,Jax,,2:42,N,"30,037",1.10,-,,True,578,2023
39,202305120,boxscore,LAD,SDP,W,4,2,,24-15,1,up 3.0,Ferguson,Hill,Phillips,2:27,N,"49,399",1.41,+++,,True,579,2023
40,202305130,boxscore,MIN,CHC,W,11,1,,22-18,1,up 3.5,Ryan,Wesneski,,2:52,D,"32,270",1.04,+,,True,580,2023
39,202305130,boxscore,WSN,NYM,W,3,2,,17-22,5, 8.0,Harvey,Leone,Finnegan,2:30,D,"24,336",,+,,True,581,2023
41,202305130,boxscore,NYY,TBR,W,9,8,,23-18,4, 7.0,Cordero,Thompson,Peralta,3:09,D,"44,714",.97,++,,True,582,2023
40,202305130,boxscore,MIA,CIN,L,5,6,,19-21,3, 6.5,Gibaut,Alcantara,Díaz,2:49,D,"11,170",.92,--,,True,583,2023
41,202305130,boxscore,CHW,HOU,W,3,1,,14-27,4, 8.5,Kelly,Montero,Graveman,2:37,N,"23,242",.28,+,,True,584,2023
41,202305130,boxscore,OAK,TEX,L,0,5,,9-32,5, 16.0,Gray,Kaprielian,,2:18,D,"8,230",.05,-,,True,585,2023
39,202305130,boxscore,BAL,PIT,W,2,0,,26-13,2, 3.0,Wells,Contreras,Bautista,2:04,N,"21,926",1.10,++++,,True,586,2023
39,202305130,boxscore,TOR,ATL,W,5,2,,23-16,3, 6.0,Swanson,Minter,Romano,2:50,D,"41,341",.98,++,,True,587,2023
40,202305130,boxscore,COL,PHI,L,4,7,,16-24,5, 9.0,Brogdon,Feltner,Soto,2:51,N,"34,006",.63,--,,True,588,2023
40,202305130,boxscore,ARI,SFG,W,7,2,,22-18,2, 3.0,Gallen,DeSclafani,,2:34,N,"25,147",1.16,++,,True,589,2023
38,202305130,boxscore,DET,SEA,L,0,5,,17-21,3, 4.0,Miller,Faedo,,2:16,D,"23,511",.84,--,,True,590,2023
39,202305130,boxscore,MIL,KCR,W-wo,4,3,,22-17,1,up 1.5,Williams,Hernández,,2:43,N,"35,766",1.17,++,,True,591,2023
39,202305130,boxscore,CLE,LAA,W,8,6,,18-21,2, 3.5,Morgan,Tepera,Stephan,2:55,N,"27,644",.78,+,,True,592,2023
40,202305130,boxscore,LAD,SDP,W,4,2,,25-15,1,up 3.0,Urías,Musgrove,Ferguson,2:26,D,"51,334",1.36,++++,,True,593,2023
40,202305130,boxscore,BOS,STL,L,3,4,,22-18,5, 7.5,Pallante,Jansen,Gallegos,2:24,D,"35,935",.87,--,,True,594,2023
41,202305140,boxscore,COL,PHI,W,4,0,,17-24,5, 9.0,Freeland,Nola,,2:33,D,"30,325",.55,+,,True,595,2023
41,202305140,boxscore,MIA,CIN,W,3,1,,20-21,3, 5.5,Scott,Herget,Floro,2:52,D,"11,216",.87,+,,True,596,2023
40,202305140,boxscore,BAL,PIT,L,0,4,,26-14,2, 4.0,Keller,Gibson,,2:37,D,"36,403",1.09,-,,True,597,2023
41,202305140,boxscore,MIN,CHC,W,16,3,,23-18,1,up 3.5,Varland,Stroman,,2:45,D,"33,419",1.10,++,,True,598,2023
40,202305140,boxscore,TOR,ATL,W-wo,6,5,,24-16,3, 6.0,Pearson,Iglesias,,3:04,D,"40,895",.95,+++,,True,599,2023
39,202305140,boxscore,DET,SEA,W,5,3,,18-21,3, 4.0,Foley,Speier,Lange,2:50,D,"20,160",.79,+,,True,600,2023
40,202305140,boxscore,MIL,KCR,W,9,6,,23-17,1,up 1.5,Lauer,Lyles,,2:44,D,"33,188",1.19,+++,,True,601,2023
40,202305140,boxscore,WSN,NYM,L,2,8,,17-23,5, 8.0,Scherzer,Irvin,,2:58,D,"21,507",.67,-,,True,602,2023
41,202305140,boxscore,BOS,STL,L,1,9,,22-19,5, 8.5,Mikolas,Kluber,,3:01,N,"27,732",.84,---,,True,603,2023
42,202305140,boxscore,CHW,HOU,L,3,4,,14-28,4, 9.5,Brown,Giolito,Pressly,2:33,D,"18,347",.30,-,,True,604,2023
42,202305140,boxscore,OAK,TEX,L,3,11,,9-33,5, 17.0,Hernández,Pruitt,,2:46,D,"7,793",.04,--,,True,605,2023
41,202305140,boxscore,ARI,SFG,W-wo,2,1,,23-18,2, 3.0,Castro,Rogers,,2:24,D,"26,267",1.24,+++,,True,606,2023
40,202305140,boxscore,CLE,LAA,W,4,3,,19-21,2, 3.5,Karinchak,Sandoval,Clase,2:13,D,"23,175",.80,++,,True,607,2023
42,202305140,boxscore,NYY,TBR,L,7,8,,23-19,4, 8.0,Eflin,Schmidt,Adam,2:51,D,"42,116",1.03,-,,True,608,2023
41,202305140,boxscore,LAD,SDP,W,4,0,,26-15,1,up 3.0,Gonsolin,Weathers,,2:14,D,"46,201",1.36,+++++,,True,609,2023
42,202305150,boxscore,BOS,SEA,L,1,10,,22-20,5, 9.0,Kirby,Houck,,2:58,N,"31,744",.85,----,,True,610,2023
41,202305150,boxscore,BAL,LAA,L,5,9,,26-15,2, 4.5,Ohtani,Rodriguez,,2:51,N,"20,148",1.09,--,,True,611,2023
41,202305150,boxscore,HOU,CHC,W,6,4,,22-19,2, 3.0,Montero,Fulmer,Neris,2:35,N,"35,413",.97,++,,True,612,2023
43,202305150,boxscore,OAK,ARI,L,2,5,,9-34,5, 17.0,Kelly,Rucinski,Chafin,2:35,N,"2,064",.03,---,,True,613,2023
42,202305150,boxscore,SDP,KCR,W,4,0,,20-22,3, 7.0,Wacha,Keller,,2:36,N,"43,828",.77,+,,True,614,2023
42,202305150,boxscore,LAD,MIN,W-wo,9,8,12,27-15,1,up 3.0,Bickford,López,,3:48,N,"49,749",1.25,++++++,,True,615,2023
41,202305150,boxscore,WSN,NYM,W,10,3,,18-23,5, 8.0,Corbin,Peterson,,2:34,D,"15,220",.69,+,,True,616,2023
41,202305150,boxscore,TEX,ATL,L,0,12,,25-16,1,up 3.0,Morton,Bradford,,2:31,N,"26,791",1.23,-,,True,617,2023
42,202305150,boxscore,COL,CIN,W,9,8,,18-24,5, 9.0,Bard,Lively,Johnson,2:51,N,"20,259",.62,++,,True,618,2023
41,202305150,boxscore,SFG,PHI,W,6,3,,18-23,4, 8.5,Alexander,Falter,Doval,2:33,N,"23,819",.65,+,,True,619,2023
41,202305150,boxscore,TOR,NYY,L,4,7,,24-17,3, 6.5,Brito,Manoah,King,2:47,N,"28,810",1.12,-,,True,620,2023
42,202305150,boxscore,STL,MIL,W,18,1,,17-25,5, 6.5,Flaherty,Peralta,,2:36,N,"34,548",.52,++++,,True,621,2023
43,202305160,boxscore,STL,MIL,L,2,3,,17-26,5, 7.5,Payamps,Montgomery,Williams,2:55,N,"34,655",.57,-,,True,622,2023
43,202305160,boxscore,NYM,TBR,L,5,8,,20-23,4, 6.5,Chirinos,Verlander,,2:49,N,"28,296",.86,--,,True,623,2023
42,202305160,boxscore,TOR,NYY,L,3,6,,24-18,3, 7.5,Weber,Swanson,Peralta,3:02,N,"35,112",1.12,--,,True,624,2023
42,202305160,boxscore,BAL,LAA,W,7,3,,27-15,2, 4.5,Kremer,Silseth,,2:35,N,"13,244",1.13,+,,True,625,2023
40,202305160,boxscore,DET,PIT,W,4,0,,19-21,2, 3.5,Lorenzen,Ortiz,,2:14,N,"16,484",.78,++,,True,626,2023
43,202305160,boxscore,CHW,CLE,W,8,3,,15-28,4, 9.0,Lynn,Bieber,,2:24,N,"18,459",.29,+,,True,627,2023
42,202305160,boxscore,TEX,ATL,W,7,4,,26-16,1,up 3.0,Dunning,Shuster,Smith,2:15,N,"23,246",1.22,+,,True,628,2023
43,202305160,boxscore,LAD,MIN,L,1,5,,27-16,1,up 3.0,Ober,Kershaw,,2:49,N,"52,159",1.18,-,,True,629,2023
42,202305160,boxscore,MIA,WSN,W-wo,5,4,,21-21,2, 5.0,Nardi,Harvey,,2:35,N,"8,811",.91,++,,True,630,2023
43,202305160,boxscore,COL,CIN,L,1,3,,18-25,5, 9.0,Law,Lambert,Díaz,2:05,N,"20,611",.60,-,,True,631,2023
44,202305160,boxscore,OAK,ARI,W-wo,9,8,12,10-34,5, 17.0,Pruitt,McGough,,4:09,N,"3,261",.02,+,,True,632,2023
42,202305160,boxscore,HOU,CHC,W,7,3,,23-19,2, 3.0,Javier,Steele,,2:19,N,"34,280",1.05,+++,,True,633,2023
43,202305160,boxscore,SDP,KCR,L,4,5,,20-23,3, 7.0,Singer,Lugo,Barlow,2:30,N,"36,060",.81,-,,True,634,2023
43,202305160,boxscore,BOS,SEA,W,9,4,,23-20,5, 9.0,Pivetta,Castillo,,2:40,N,"31,476",.83,+,,True,635,2023
42,202305160,boxscore,SFG,PHI,W,4,3,,19-23,4, 7.5,Rogers,Wheeler,Doval,2:42,N,"24,304",.67,++,,True,636,2023
44,202305170,boxscore,CHW,CLE,W,7,2,,16-28,4, 8.0,Clevinger,Battenfield,,2:33,N,"12,241",.30,++,,True,637,2023
44,202305170,boxscore,BOS,SEA,W,12,3,,24-20,5, 8.0,Bello,Gonzales,,2:57,N,"32,209",.83,++,,True,638,2023
44,202305170,boxscore,NYM,TBR,W-wo,8,7,10,21-23,3, 6.5,Robertson,Fairbanks,,3:11,N,"29,695",.85,+,,True,639,2023
43,202305170,boxscore,TOR,NYY,W-wo,3,0,10,25-18,3, 6.5,Romano,Peralta,,3:10,N,"27,431",1.12,+,,True,640,2023
41,202305170,boxscore,DET,PIT,L,0,8,,19-22,2, 3.5,Hill,Rodriguez,,2:23,D,"14,542",.82,-,,True,641,2023
44,202305170,boxscore,COL,CIN,W,11,6,,19-25,5, 9.0,Suter,Ashcraft,Johnson,2:39,D,"22,654",.59,+,,True,642,2023
43,202305170,boxscore,SFG,PHI,W,7,4,,20-23,3, 7.5,Brebbia,Soto,Doval,2:55,D,"25,303",.76,+++,,True,643,2023
44,202305170,boxscore,SDP,KCR,L,3,4,,20-24,4, 8.0,Taylor,Darvish,Barlow,3:05,D,"32,416",.79,--,,True,644,2023
43,202305170,boxscore,MIA,WSN,W,4,3,,22-21,2, 5.0,Cabrera,Gore,Floro,2:26,N,"8,451",.98,+++,,True,645,2023
44,202305170,boxscore,LAD,MIN,W,7,3,,28-16,1,up 3.0,Graterol,De León,,2:49,D,"36,434",1.23,+,,True,646,2023
43,202305170,boxscore,HOU,CHC,W-wo,7,6,,24-19,2, 2.0,Abreu,Hughes,,2:50,N,"35,749",1.06,++++,,True,647,2023
43,202305170,boxscore,TEX,ATL,L,5,6,,26-17,1,up 2.0,Anderson,Burke,Iglesias,2:29,N,"30,035",1.23,-,,True,648,2023
43,202305170,boxscore,BAL,LAA,W,3,1,,28-15,2, 3.5,Bradish,Canning,Bautista,2:30,N,"15,702",1.14,++,,True,649,2023
45,202305170,boxscore,OAK,ARI,L,3,5,,10-35,5, 17.0,Ruiz,Fujinami,Castro,2:51,D,"4,159",.02,-,,True,650,2023
44,202305170,boxscore,STL,MIL,W,3,0,,18-26,5, 6.5,Liberatore,Burnes,Helsley,2:34,N,"35,433",.56,+,,True,651,2023
44,202305180,boxscore,MIA,WSN,W,5,3,,23-21,2, 4.5,Pérez,Williams,Floro,2:16,D,"7,752",1.00,++++,,True,652,2023
45,202305180,boxscore,STL,LAD,W,16,8,,19-26,5, 6.0,Wainwright,Urías,,3:09,N,"36,982",.54,++,,True,653,2023
44,202305180,boxscore,TOR,NYY,L,2,4,,25-19,3, 6.5,Cortes,Berríos,Marinaccio,2:29,N,"33,290",1.08,-,,True,654,2023
45,202305180,boxscore,NYM,TBR,W,3,2,,22-23,3, 6.0,Megill,Littell,Robertson,2:22,D,"29,946",.89,++,,True,655,2023
45,202305180,boxscore,CHW,CLE,L,1,3,,16-29,4, 8.5,Sandlin,Cease,Clase,2:17,D,"11,900",.36,-,,True,656,2023
44,202305180,boxscore,BAL,LAA,L,5,6,,28-16,2, 3.5,Devenski,Baker,Estévez,3:05,D,"27,778",1.13,-,,True,657,2023
46,202305190,boxscore,STL,LAD,L,0,5,,19-27,5, 6.0,Gonsolin,Matz,,2:54,N,"44,774",.60,-,,True,658,2023
45,202305190,boxscore,WSN,DET,L,6,8,,18-27,5, 10.5,Boyd,Irvin,Lange,2:47,N,"19,985",.53,----,,True,659,2023
45,202305190,boxscore,TOR,BAL,L,2,6,,25-20,4, 7.5,Gibson,Kikuchi,,2:49,N,"32,485",1.16,--,,True,660,2023
44,202305190,boxscore,TEX,COL,W,7,2,,27-17,1,up 2.0,Pérez,Kauffmann,,2:23,N,"30,819",1.23,+,,True,661,2023
46,202305190,boxscore,CHW,KCR,W,2,0,,17-29,4, 7.5,Kopech,Greinke,Graveman,2:06,N,"20,329",.27,+,,True,662,2023
46,202305190,boxscore,LAA,MIN,W,5,4,,24-22,3, 4.0,Weiss,Jax,Estévez,2:40,N,"31,079",1.04,++,,True,663,2023
44,202305190,boxscore,PIT,ARI,W,13,3,,24-20,1, Tied,Oviedo,Gallen,,2:59,N,"25,903",1.18,++,,True,664,2023
46,202305190,boxscore,TBR,MIL,W,1,0,,33-13,1,up 3.5,Adam,Strzelecki,Fairbanks,2:06,N,"18,961",1.06,+,,True,665,2023
44,202305190,boxscore,HOU,OAK,W,5,1,,25-19,2, 2.0,Bielak,Waldichuk,,2:48,N,"34,931",1.16,+++++,,True,666,2023
44,202305190,boxscore,PHI,CHC,L,1,10,,20-24,4, 8.0,Stroman,Suárez,,2:54,N,"42,110",.86,-----,,True,667,2023
44,202305190,boxscore,CIN,NYY,L,2,6,,19-25,4, 5.0,Schmidt,Lively,,2:42,N,"35,177",.71,--,,True,668,2023
45,202305190,boxscore,SDP,BOS,L,1,6,,20-25,4, 8.5,Paxton,Snell,Winckowski,2:25,N,"41,530",.68,---,,True,669,2023
44,202305190,boxscore,ATL,SEA,W,6,2,,28-16,1,up 5.5,McHugh,Miller,,2:29,N,"40,412",1.19,++,,True,670,2023
46,202305190,boxscore,NYM,CLE,W-wo,10,9,10,23-23,3, 6.0,Smith,Clase,,3:08,N,"35,010",.90,+++,,True,671,2023
44,202305190,boxscore,SFG,MIA,W,4,3,,21-23,3, 7.0,Alexander,Alcantara,Rogers,2:24,N,"30,673",.83,++++,,True,672,2023
47,202305200,boxscore,LAA,MIN,L,2,6,,24-23,3, 5.0,Varland,Sandoval,,2:54,N,"35,688",1.04,-,,True,673,2023
46,202305200,boxscore,WSN,DET,W,5,2,,19-27,5, 9.5,Corbin,Faedo,Finnegan,2:03,D,"31,721",.46,+,,True,674,2023
47,202305200,boxscore,CHW,KCR,W,5,1,,18-29,4, 7.5,Giolito,Lyles,,2:21,D,"23,984",.30,++,,True,675,2023
46,202305200,boxscore,TOR,BAL,L,5,6,10,25-21,5, 8.5,Bautista,García,,3:32,D,"41,611",1.02,---,,True,676,2023
46,202305200,boxscore,SDP,BOS,L,2,4,,20-26,4, 8.5,Sale,Musgrove,Jansen,2:51,N,"40,215",.63,----,,True,677,2023
45,202305200,boxscore,TEX,COL,W,11,5,,28-17,1,up 2.0,Gray,Freeland,,2:57,D,"34,443",1.25,++,,True,678,2023
45,202305200,boxscore,PHI,CHC,W,12,3,,21-24,4, 7.0,Nola,Taillon,,2:47,D,"42,508",.81,+,,True,679,2023
45,202305200,boxscore,SFG,MIA,L,0,1,,21-24,3, 7.0,Chargois,Rogers,Floro,2:16,D,"31,993",.88,-,,True,680,2023
45,202305200,boxscore,CIN,NYY,L,4,7,10,19-26,4, 5.0,Holmes,Gibaut,Weber,2:59,D,"41,374",.66,---,,True,681,2023
47,202305200,boxscore,STL,LAD,W,6,5,,20-27,4, 5.0,Helsley,González,Gallegos,2:30,N,"45,177",.53,+,,True,682,2023
45,202305200,boxscore,PIT,ARI,L,3,4,,24-21,1, Tied,Nelson,Stephenson,Castro,2:35,D,"22,876",1.29,-,,True,683,2023
45,202305200,boxscore,HOU,OAK,W,3,2,,26-19,2, 2.0,Neris,Lovelady,Pressly,2:35,D,"35,475",1.09,++++++,,True,684,2023
47,202305200,boxscore,TBR,MIL,W,8,4,,34-13,1,up 3.5,Eflin,Lauer,Adam,2:39,D,"19,954",1.05,++,,True,685,2023
45,202305200,boxscore,ATL,SEA,L,3,7,,28-17,1,up 4.5,Gilbert,Tonkin,,2:46,N,"40,250",1.19,-,,True,686,2023
46,202305210,boxscore,PIT,ARI,L,3,8,,24-22,2, 1.0,Kelly,Moreta,,2:54,D,"21,418",1.30,--,,True,687,2023
48,202305210,boxscore,LAA,MIN,W,4,2,,25-23,3, 5.0,Devenski,López,Estévez,2:41,D,"42,138",.94,+,,True,688,2023
46,202305210,boxscore,SFG,MIA,W,7,5,,22-24,3, 6.0,Walker,Luzardo,Doval,2:24,D,"28,936",.83,+,,True,689,2023
48,202305210,boxscore,STL,LAD,W,10,5,,21-27,3, 5.0,VerHagen,Kershaw,,3:00,D,"44,721",.63,++,,True,690,2023
48,202305210,boxscore,CHW,KCR,W,5,2,,19-29,4, 6.5,Lynn,Castillo,Kelly,2:26,D,"23,556",.33,+++,,True,691,2023
46,202305210,boxscore,CIN,NYY,L,1,4,,19-27,5, 6.0,Abreu,Greene,Holmes,2:27,D,"33,828",.63,----,,True,692,2023
47,202305210,boxscore,WSN,DET,W,6,4,,20-27,5, 9.5,Gray,Wentz,Harvey,2:49,D,"20,580",.51,++,,True,693,2023
46,202305210,boxscore,HOU,OAK,W,2,0,,27-19,2, 2.0,Valdez,Kaprielian,,2:26,D,"39,820",1.17,+++++++,,True,694,2023
48,202305210,boxscore,TBR,MIL,L,4,6,,34-14,1,up 2.5,Peralta,Criswell,Williams,2:44,D,"20,193",1.02,-,,True,695,2023
46,202305210,boxscore,TEX,COL,W,13,3,,29-17,1,up 2.0,Heaney,Seabold,,2:50,D,"32,733",1.29,+++,,True,696,2023
47,202305210,boxscore,SDP,BOS,W,7,0,,21-26,4, 7.5,Wacha,Kluber,,2:38,D,"42,825",.60,+,,True,697,2023
